"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
1.192238969E2,6.506070667E1,2.547382333E1,-1.018441467E1,7.300000000E0,1.026870847E0,2.902799988E2,4.367593795E-1,1.600000024E0,6.800000191E0,3.300000000E1
1.202071431E2,6.506071333E1,2.547377333E1,-9.884422767E0,7.600000000E0,1.141653895E0,2.936799927E2,4.388488876E-1,1.700000048E0,7.800000191E0,3.300000000E1
1.212241276E2,6.506072000E1,2.547373167E1,-9.684429931E0,7.800000000E0,1.225553632E0,3.023399963E2,4.408395803E-1,1.700000048E0,7.800000191E0,3.300000000E1
1.222039403E2,6.506073333E1,2.547370333E1,-9.284438116E0,8.200000000E0,1.373793602E0,3.090299988E2,4.424295506E-1,1.700000048E0,8.699999809E0,3.300000000E1
1.232021769E2,6.506074000E1,2.547367333E1,-8.984443978E0,8.500000000E0,1.474164486E0,2.975499878E2,4.435391466E-1,1.600000024E0,8.300000191E0,3.300000000E1
1.242265151E2,6.506074167E1,2.547365000E1,-8.684447213E0,8.800000000E0,1.502988935E0,2.865499878E2,4.446742244E-1,1.600000024E0,8.699999809E0,3.300000000E1
1.252121569E2,6.506074833E1,2.547363167E1,-8.284451771E0,9.200000000E0,1.549313903E0,2.843800049E2,4.455391074E-1,1.700000048E0,9.699999809E0,3.300000000E1
1.262211914E2,6.506075167E1,2.547361500E1,-7.884454889E0,9.600000000E0,1.567843914E0,2.765899963E2,4.464039904E-1,1.700000048E0,8.899999619E0,3.300000000E1
1.272176529E2,6.506075500E1,2.547359833E1,-7.484458006E0,1.000000000E1,1.568873286E0,2.596400146E2,4.471312900E-1,1.799999952E0,9.100000381E0,3.300000000E1
1.281992117E2,6.506075333E1,2.547358333E1,-7.084459055E0,1.040000000E1,1.495782733E0,2.598900146E2,4.478585896E-1,1.700000048E0,7.099999905E0,3.300000000E1
1.292046092E2,6.506075500E1,2.547356833E1,-6.884461359E0,1.060000000E1,1.330042243E0,2.630799866E2,4.488912216E-1,1.799999952E0,7.699999809E0,3.300000000E1
1.302292612E2,6.506075667E1,2.547354667E1,-6.784464408E0,1.070000000E1,1.205994129E0,2.630899963E2,4.500492765E-1,1.700000048E0,7.800000191E0,3.300000000E1
1.311924479E2,6.506076167E1,2.547352500E1,-6.584468713E0,1.090000000E1,1.132903576E0,2.638099976E2,4.511432857E-1,1.700000048E0,8.199999809E0,3.300000000E1
1.322021169E2,6.506076167E1,2.547350167E1,-6.584471321E0,1.090000000E1,1.034591675E0,2.749800110E2,4.522983776E-1,1.700000048E0,8.899999619E0,3.200000000E1
1.332199987E2,6.506076500E1,2.547347833E1,-6.584475184E0,1.090000000E1,1.001649499E0,2.753800049E2,4.534079726E-1,1.600000024E0,8.300000191E0,3.300000000E1
1.342229276E2,6.506076333E1,2.547345500E1,-6.684477164E0,1.080000000E1,1.045400858E0,2.811499939E2,4.545019817E-1,1.600000024E0,7.099999905E0,3.300000000E1
1.352151553E2,6.506076333E1,2.547343167E1,-6.884479772E0,1.060000000E1,1.081946135E0,2.787900085E2,4.556886944E-1,1.600000024E0,5.900000095E0,3.300000000E1
1.362004686E2,6.506076167E1,2.547340667E1,-7.084481939E0,1.040000000E1,1.116432548E0,2.830899963E2,4.567700659E-1,1.600000024E0,4.500000000E0,3.300000000E1
1.372000034E2,6.506075833E1,2.547338500E1,-7.384483105E0,1.010000000E1,1.133933067E0,2.753900146E2,4.577291012E-1,1.600000024E0,4.000000000E0,3.300000000E1
1.382066307E2,6.506075333E1,2.547336833E1,-7.584483084E0,9.900000000E0,1.110770583E0,2.228000031E2,4.585240859E-1,1.600000024E0,3.900000095E0,3.300000000E1
1.391984485E2,6.506075000E1,2.547335333E1,-7.984483505E0,9.500000000E0,1.112829447E0,2.728500061E2,4.594034160E-1,1.700000048E0,3.900000095E0,3.300000000E1
1.402097357E2,6.506075167E1,2.547333500E1,-7.884486182E0,9.600000000E0,1.128785849E0,2.802999878E2,4.602629949E-1,1.600000024E0,3.900000095E0,3.300000000E1
1.412285908E2,6.506075167E1,2.547331667E1,-8.284488231E0,9.200000000E0,1.171507835E0,2.916199951E2,4.612188552E-1,1.600000024E0,4.000000000E0,3.200000000E1
